"국가",2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"국가",1인당 국내총생산 당해년가격(미달러),1인당 국내총생산 당해년가격(미달러),1인당 국내총생산 당해년가격(미달러),1인당 국내총생산 당해년가격(미달러),1인당 국내총생산 당해년가격(미달러),1인당 국내총생산 당해년가격(미달러),1인당 국내총생산 당해년가격(미달러),1인당 국내총생산 당해년가격(미달러),1인당 국내총생산 당해년가격(미달러),1인당 국내총생산 당해년가격(미달러),1인당 국내총생산 당해년가격(미달러),1인당 국내총생산 당해년가격(미달러),1인당 국내총생산 당해년가격(미달러),1인당 국내총생산 당해년가격(미달러),1인당 국내총생산 당해년가격(미달러),1인당 국내총생산 당해년가격(미달러),1인당 국내총생산 당해년가격(미달러),1인당 국내총생산 당해년가격(미달러),1인당 국내총생산 당해년가격(미달러),1인당 국내총생산 당해년가격(미달러),1인당 국내총생산 당해년가격(미달러),1인당 국내총생산 당해년가격(미달러),1인당 국내총생산 당해년가격(미달러)
"대한민국",13637.34,15211.15,17107.74,20162.88,22596.68,25075.29,22291.17,19933.01,24069.07,26177.95,26600.55,28449.36,30667.09,30171.79,30825.52,33296.98,35363.95,33826.94,33653.20,37518.47,34822.41,35563.08,36131.85
